,features,feature_sums,VIF
3241,GAAFDA_G14_XDC_G62_S1311_XDC_W2|S1_F5,2402185764438020.5,4503599627370496.0
382,BCG_GAAFAE_G01_XDC,2679235772920021.5,4503599627370496.0
11701,GRTGSUM_G14_XDC_W0|S1|G11451_S13_XDC,80204902796824.19,4503599627370496.0
3209,GAAFAE_G14_XDC_G62_S1311_XDC_W0|S1_F5,2398608167950395.5,4503599627370496.0
1813,FOSAO_XDC,6415372635831532.0,4503599627370496.0
10604,GG_GALLS_G01_XDC,773074047791042.4,4503599627370496.0
8046,GALSO_G14_XDC_G63_S13_XDC_W0|S1_F3,3929077705357757.5,4503599627370496.0
9003,GEG_G14_XDC_W0|S1|G26_S1313_XDC,85753503940966.88,4503599627370496.0
390,BCG_GAAFO_G01_XDC,296252231723204.8,4503599627370496.0
37,14E___XDC,6245747500000.0,4503599627370496.0
2598,FS_ODX_LDCDC_XDC,1.0130247573677272e+16,4503599627370496.0
3886,GAAF_G14_XDC_G62|F_S13_XDC,4735500379952014.0,4503599627370496.0
4110,GAAN_G14_XDC_G61|NN_S13_XDC,6950666878256693.0,4503599627370496.0
2343,FS_ODX_AFLG_NODX_XDC,1.0003739753775354e+16,4503599627370496.0
323,52C___XDC,336568295156075.4,4503599627370496.0
8971,GEG_G14_CA_XDC_G26|_Z_S1313_XDC,72766444641578.52,4503599627370496.0
10595,GG_GADLSO_T_G01_XDC,539154400105065.56,4503599627370496.0
10610,GG_GAL_G01_XDC,4866154920209683.0,4503599627370496.0
2363,FS_ODX_AFLG_XDC,1.0330568937677656e+16,4503599627370496.0
10648,GG_GRT_G01_XDC,1692063955070018.8,4503599627370496.0
3881,GAAF_G14_XDC_G62|F_S1311_XDC,4003553093008727.0,4503599627370496.0
8643,GEE_G14_XDC_GF09_S1313_XDC,196369053285447.78,3002399751580330.5
9085,GEHO_G14_XDC_GF0606_S1321_XDC,10042296393361.86,3002399751580330.5
5597,GADANNI_T_G14_XDC_G31_S1321_XDC_W0|S1_N2KN,12358459412817.463,3002399751580330.5
11730,GRTGSU_G14_XDC_W0|S1|G1145_S1313_XDC,53180970420769.64,3002399751580330.5
393,BCG_GAAN_G01_XDC,4073638301912137.0,3002399751580330.5
8675,GEGC_GG_G14_XDC_W2|S13|G26C_S1313_XDC,63617158949467.41,3002399751580330.5
446,BCG_GALF_G01_XDC,1762015089774615.0,3002399751580330.5
2596,FS_ODX_LDCDC_FSCD_XDC,1.0304854358677786e+16,3002399751580330.5
2613,FS_ODX_LDC_XDC,1.1752662367024696e+16,3002399751580330.5
2743,FS_OFM_IPF_IC_A_FSGDPIC_XDC,649059772903871.0,3002399751580330.5
3421,GAAFD_G14_XDC_G62_S1321_XDC_W2|S1_F,3530395988091910.0,3002399751580330.5
2745,FS_OFM_IPF_IC_A_FSTFIC_XDC,649059772903871.0,3002399751580330.5
2747,FS_OFM_IPF_IC_A_XDC,649059772903871.0,3002399751580330.5
2625,FS_ODX_LD_XDC,1.429886142103882e+16,3002399751580330.5
4061,GAANN_G14_XDC_G61_S1321_XDC_W0|S1_N2N,2058225471906407.8,3002399751580330.5
8874,GEGPT_G14_XDC_GF0108_S1312_XDC,67326426513680.76,3002399751580330.5
3336,GAAFDS_G14_XDC_G62_S1311B_XDC_W2|S1_F3,153967054875045.94,3002399751580330.5
3271,GAAFDF_G14_XDC_G62_S13112_XDC_W2|S1_F7,223002148918.1516,3002399751580330.5
4105,GAAN_G14_XDC_G61|NN_S1311_XDC,3938766055120070.0,3002399751580330.5
392,BCG_GAAF_G01_XDC,3651646218218779.5,3002399751580330.5
3422,GAAFD_G14_XDC_G62_S13_XDC_W2|S1_F,4353187681357615.0,3002399751580330.5
2445,FS_ODX_CET1_FSCET_XDC,1096036947023590.2,3002399751580330.5
2319,FS_ODX_AFLG_FSANL_XDC,1.0331358639929912e+16,3002399751580330.5
1903,FSDERA_FSERA_XDC,1.4795385372739326e+16,3002399751580330.5
2341,FS_ODX_AFLG_NODX_FSCD_XDC,9984156842118942.0,3002399751580330.5
12760,NC_R_XDC,1.9111381499546044e+16,3002399751580330.5
6445,GADLFD_HG_G14_XDC_G43_S1321_XDC_W0|S1_F7,1028874211557.2559,3002399751580330.5
6477,GADLFD_T_G14_XDC_G33_S1321_XDC_W0|S1_F7,-768608556699.1467,3002399751580330.5
10363,GEST_PE_G14_XDC_W2|S1KP|G25_S1313_XDC,69251703611054.0,3002399751580330.5
10628,GG_GE_G01_XDC,2319277735932385.0,3002399751580330.5
10627,GG_GE_G01_CA_XDC,1958021887545752.8,3002399751580330.5
13206,TA_XDC_FS_ODX_XC,227682993100758.2,3002399751580330.5
10619,GG_GEI_G01_XDC,239388844611687.84,3002399751580330.5
10237,GESPX_G14_XDC_GF1007_S1321_XDC,63904154308672.586,3002399751580330.5
2436,FS_ODX_A_FSLT_XDC,1.569680271698233e+16,3002399751580330.5
1488,FDSB_SA_XDC,6857623808712936.0,3002399751580330.5
10571,GG_GADANP_T_G01_CA_XDC,528997360527301.75,3002399751580330.5
2022,FSNFAT_FSFAT_XDC,4079088182928754.5,3002399751580330.5
13207,TA_XDC_FS_ODX_XCU,796433802772744.9,3002399751580330.5
10546,GG_GAAFO_G01_XDC,451464301171878.25,3002399751580330.5
1554,FFCAD_XDC,7303578680954771.0,3002399751580330.5
10539,GG_GAAFCD_G01_XDC,587259281363025.4,3002399751580330.5
3877,GAAF_G14_XDC_G62_S1321_XDC_W0|S1_F,3789163295667210.0,3002399751580330.5
12165,GR_G14_XDC_W0|S1|G1_S13_XDC,2991703026805214.0,2251799813685248.0
4280,GADAFDF_T_G14_XDC_G32_S1311B_XDC_W2|S1_F7,-1704808389310.1807,2251799813685248.0
2701,FS_OFM_A_XDC,4079088182928754.5,2251799813685248.0
6333,GADLD_T_ODX_G14_XDC_G33_W2|S122_S1321_XDC,263692362008258.34,2251799813685248.0
11729,GRTGSU_G14_XDC_W0|S1|G1145_S1312_XDC,70451943835067.58,2251799813685248.0
6334,GADLD_T_ODX_G14_XDC_G33_W2|S122_S13_XDC,264780733326608.2,2251799813685248.0
10233,GESPX_G14_XDC_GF1007_S1311_XDC,64230987849434.38,2251799813685248.0
10637,GG_GRTI_G01_CA_XDC,687024102985724.1,2251799813685248.0
5611,GADANNL_T_G14_XDC_G31_S1313_XDC_W0|S1_N211N,31041168500385.004,2251799813685248.0
10706,GRGC_GG_G14_XDC_W2|S13|G13C_S1313_XDC,729392855918548.4,2251799813685248.0
10647,GG_GRT_G01_CA_XDC,1575444153122002.5,2251799813685248.0
1188,FA_XDC_FS_ODX_IP,1174488231557633.0,2251799813685248.0
12152,GR_G14_XDC_G1|_Z_S1311_XDC,2461627174503187.5,2251799813685248.0
10606,GG_GALO_G01_XDC,417776513968651.25,2251799813685248.0
10570,GG_GADANKC_T_G01_XDC,175452464189941.6,2251799813685248.0
10556,GG_GADAFF_T_G01_XDC,6233127547594.686,2251799813685248.0
7449,GALDS_G14_XDC_G63_S1311_XDC_W2|S1_F3,2585896400137061.5,2251799813685248.0
7454,GALDS_G14_XDC_G63_S13_XDC_W2|S1_F3,2534767436055376.5,2251799813685248.0
1578,FFCD_XDC,5212161401790458.0,2251799813685248.0
1569,FFCAO_XDC,5934980386885930.0,2251799813685248.0
384,BCG_GAAFD_G01_XDC,3615395168540057.5,2251799813685248.0
11106,GROPN_G14_XDC_W0|S1|G1414_S1313_XDC,7853769963109.272,2251799813685248.0
6461,GADLFD_O_G14_XDC_G93_S1321_XDC_W0|S1_F7,1387555980384.4717,2251799813685248.0
11682,GRTGSS_G14_XDC_W0|S1|G1144_S1313_XDC,14124918331629.39,2251799813685248.0
8041,GALSO_G14_XDC_G63_S1311_XDC_W0|S1_F3,3976704664900675.0,2251799813685248.0
8995,GEG_G14_XDC_G26|_Z_S1313_XDC,85753503940966.88,2251799813685248.0
3918,GAANFM_G14_XDC_G61_S13_XDC_W0|S1_N113N,597887040739168.8,2251799813685248.0
